https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1744243200000,2025-04-10 00:00:00,BCH/USDT,301.24,303.98,282.34,289.61,7474404.66,25390.394836,4016673.92,13644.521894,219734,294.47
1744156800000,2025-04-09 00:00:00,BCH/USDT,269.13,311.48,259.26,301.24,9386362.58,33422.026473,5135019.54,18277.32279,278553,281.68
1744070400000,2025-04-08 00:00:00,BCH/USDT,275.42,284.87,266.9,269.11,7316822.34,26361.641062,3980630.91,14339.628318,215500,277.61
1743984000000,2025-04-07 00:00:00,BCH/USDT,272.24,282.17,249.75,275.44,12543751.19,46678.216015,7104085.42,26433.401822,370103,268.95
1743897600000,2025-04-06 00:00:00,BCH/USDT,303.94,308.11,265.35,272.15,5824027.35,20344.182764,3126443.93,10929.506915,170819,286.7
1743811200000,2025-04-05 00:00:00,BCH/USDT,301.34,304.29,296.97,303.95,4719429.86,15670.27941,2508135.35,8327.619106,138786,301.17
1743724800000,2025-04-04 00:00:00,BCH/USDT,301.39,310.13,294.09,301.35,7353951.4,24351.172826,3986276.07,13200.129559,216068,302.03
1743638400000,2025-04-03 00:00:00,BCH/USDT,292.96,307.81,291.34,301.42,10313582.38,34372.589643,5668587.85,18891.801944,303995,300.1
1743552000000,2025-04-02 00:00:00,BCH/USDT,308.2,316.84,290.27,292.97,7572110.81,24816.798269,4085496.5,13391.489609,223025,305.19
1743465600000,2025-04-01 00:00:00,BCH/USDT,303.64,318.31,302.38,308.22,6505320.23,20995.690839,3515466.57,11346.706389,191931,309.87
1743379200000,2025-03-31 00:00:00,BCH/USDT,299.36,306.12,290.03,303.64,7353436.87,24481.024974,4079208.44,13578.221768,217224,300.41
1743292800000,2025-03-30 00:00:00,BCH/USDT,303.55,308.35,294.06,299.27,4451939.71,14611.310987,2348752.31,7708.009635,130482,304.71
1743206400000,2025-03-29 00:00:00,BCH/USDT,307.92,309.58,299.09,303.48,5506722.56,18055.039017,2913046.57,9551.280294,162000,305.01
1743120000000,2025-03-28 00:00:00,BCH/USDT,324.83,328.31,305.14,307.78,6938457.27,22192.295524,3707442.54,11857.798554,203326,312.76
1743033600000,2025-03-27 00:00:00,BCH/USDT,335.26,339.91,320.99,324.84,7055528.91,21315.491357,3793579.12,11460.902964,208281,331.1
1742947200000,2025-03-26 00:00:00,BCH/USDT,335.96,341.27,328.43,335.13,7341135.41,21887.916272,3968312.43,11831.642691,217895,335.41
1742860800000,2025-03-25 00:00:00,BCH/USDT,332.4,339.39,326.43,335.96,6432209.44,19356.957671,3450343.77,10383.405358,188725,332.32
1742774400000,2025-03-24 00:00:00,BCH/USDT,325.36,336.86,321.46,332.38,6370146.59,19263.586173,3437649.6,10394.592615,186752,330.71
1742688000000,2025-03-23 00:00:00,BCH/USDT,322.3,325.9,320.69,325.38,3991654.64,12343.639984,2109213.91,6522.426887,116836,323.38
1742601600000,2025-03-22 00:00:00,BCH/USDT,323.16,326.27,320.82,322.3,4053801.94,12500.77907,2137040.38,6589.973962,119356,324.28
1742515200000,2025-03-21 00:00:00,BCH/USDT,333.63,335.68,320.61,323.16,5915943.24,17886.514551,3161766.46,9559.604902,172836,330.77
1742428800000,2025-03-20 00:00:00,BCH/USDT,345.11,349.8,330.03,333.65,6745947.88,19750.081213,3640713.29,10657.971161,197526,341.64
1742342400000,2025-03-19 00:00:00,BCH/USDT,335.14,346.71,332.22,345.1,6376331.78,18846.193277,3430397.39,10138.096551,188197,338.38
1742256000000,2025-03-18 00:00:00,BCH/USDT,337.3,343.54,329.1,335.12,5444574.43,16277.833086,2896329.96,8658.965549,158606,334.5
1742169600000,2025-03-17 00:00:00,BCH/USDT,332.84,342.28,330.82,337.3,5441727.15,16134.800992,2889513.21,8567.544722,159030,337.28
1742083200000,2025-03-16 00:00:00,BCH/USDT,342.32,342.65,325.06,332.89,4704161.69,14089.088637,2487513.97,7451.17459,137784,333.94
1741996800000,2025-03-15 00:00:00,BCH/USDT,331.33,353.03,327.72,342.31,4002200.58,11813.310511,2112278.84,6233.695353,117447,338.88
1741910400000,2025-03-14 00:00:00,BCH/USDT,326,334.72,325.28,331.34,5114372.76,15542.261208,2715117.3,8250.735468,148945,329.07
