https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1572220800000,2019-10-28 00:00:00,DASH/USDT,72.44388624,76.84596329,71.62880674,71.91520472,11912.24497613,161.55957961,0,0,0,73.73282973
1572134400000,2019-10-27 00:00:00,DASH/USDT,70.44229792,74,69.27083078,72.10062756,30138.18567985,417.58007691,0,0,0,72.17342815
1572048000000,2019-10-26 00:00:00,DASH/USDT,70.5062773,75.19262423,67.31890508,69.73889551,103595.12987743,1447.2100153,0,0,0,71.58265129
1571961600000,2019-10-25 00:00:00,DASH/USDT,62.88768874,70.45223785,62.57336002,70.45223785,36302.29889521,542.47634923,0,0,0,66.91959741
1571875200000,2019-10-24 00:00:00,DASH/USDT,62.7137,63.0205,61.26071312,62.41379832,62099.05827698,1003.38495615,0,0,0,61.88956481
1571788800000,2019-10-23 00:00:00,DASH/USDT,67.13413711,67.30319969,61.48291,62.703,100323.58663991,1568.19474674,0,0,0,63.97393362
1571702400000,2019-10-22 00:00:00,DASH/USDT,68.25301001,69.53968814,66.80868159,67.19895472,14334.3762515,210.44697839,0,0,0,68.11395611
1571616000000,2019-10-21 00:00:00,DASH/USDT,68.88851008,69.36562524,67.97642134,68.33441216,23750.64504431,347.03265162,0,0,0,68.43922303
1571529600000,2019-10-20 00:00:00,DASH/USDT,67.42363074,69.93983998,67.03461636,69.43713562,4352.18321727,63.07020645,0,0,0,69.00537452
1571443200000,2019-10-19 00:00:00,DASH/USDT,67.66762006,68.2315,67.20042793,67.27474015,6637.62859263,98.15182621,0,0,0,67.62613441
1571356800000,2019-10-18 00:00:00,DASH/USDT,69.096999,69.096999,66.76273226,67.78026002,6252.28643767,91.93982551,0,0,0,68.00411468
1571270400000,2019-10-17 00:00:00,DASH/USDT,67.78493657,69.8,67.2831592,68.82927465,7629.50935353,111.52643881,0,0,0,68.40987155
1571184000000,2019-10-16 00:00:00,DASH/USDT,71.04485094,71.51259888,66.70960005,68.0275139,10075.21617218,146.24092888,0,0,0,68.89464016
1571097600000,2019-10-15 00:00:00,DASH/USDT,71.21733575,73.11212677,70.56409055,71.3365,22793.35115462,319.16193657,0,0,0,71.41625783
1571011200000,2019-10-14 00:00:00,DASH/USDT,70.47139901,71.39918173,70.08732509,70.9203,7289.67491472,102.99194814,0,0,0,70.7790759
1570924800000,2019-10-13 00:00:00,DASH/USDT,70.60452749,71.64075428,70.16338429,70.45779837,1930.80506015,27.23213098,0,0,0,70.90172493
1570838400000,2019-10-12 00:00:00,DASH/USDT,70.03604569,73.18181,69.86757402,71.06667971,3567.2243563,50.08206998,0,0,0,71.22757421
1570752000000,2019-10-11 00:00:00,DASH/USDT,72.33869,73.7119899,69.5063954,69.80163274,13020.31726645,181.17788725,0,0,0,71.86482558
1570665600000,2019-10-10 00:00:00,DASH/USDT,72.31612669,74.24957027,70.610075,72.31782,11237.88375074,155.30186794,0,0,0,72.36154915
1570579200000,2019-10-09 00:00:00,DASH/USDT,70.77278455,74.46911614,70.23090825,74.28373179,14634.68701045,201.96985832,0,0,0,72.45975776
1570492800000,2019-10-08 00:00:00,DASH/USDT,71.12910692,73.80859999,70.22591264,70.81911034,8444.55381976,117.62818878,0,0,0,71.79022228
1570406400000,2019-10-07 00:00:00,DASH/USDT,68.98093999,71.89,68.28890057,70.88864181,11158.62460721,159.82733378,0,0,0,69.8167475
1570320000000,2019-10-06 00:00:00,DASH/USDT,69.0816169,70.69901237,67.92786304,69.18574826,7699.93031068,111.38386064,0,0,0,69.12967701
1570233600000,2019-10-05 00:00:00,DASH/USDT,69.53448,69.81123058,68.80842939,69.81123058,1244.0805048,17.96309795,0,0,0,69.2575695
1570147200000,2019-10-04 00:00:00,DASH/USDT,69.31268469,70,68.02300438,69.6865699,6072.76692092,88.06196303,0,0,0,68.96015841
1570060800000,2019-10-03 00:00:00,DASH/USDT,70.85087989,70.85087989,67.97,69.37811791,14049.57782425,203.76503532,0,0,0,68.94989516
1569974400000,2019-10-02 00:00:00,DASH/USDT,69.35539862,70.45913693,69,70.45913693,6274.94066842,90.43504624,0,0,0,69.38616088
1569888000000,2019-10-01 00:00:00,DASH/USDT,70.69540377,72.29827351,69.21622806,69.21622806,41221.91436907,576.96342508,0,0,0,71.44632151
1569801600000,2019-09-30 00:00:00,DASH/USDT,68.75118513,71.64355189,66.80485985,69.63921299,6003.9065569,86.90658865,0,0,0,69.08459588
1569715200000,2019-09-29 00:00:00,DASH/USDT,69.97621814,70.30992967,67.50305837,68,1618.06852074,23.36921485,0,0,0,69.23931895
1569628800000,2019-09-28 00:00:00,DASH/USDT,71.1155428,71.90822166,70.13551692,70.13551692,10661.78891326,149.9166165,0,0,0,71.11812661
1569542400000,2019-09-27 00:00:00,DASH/USDT,68.49230732,72.17274479,67.00724825,71.11554289,15685.10299403,229.87582764,0,0,0,68.23293756
1569456000000,2019-09-26 00:00:00,DASH/USDT,72.686784,72.686784,66.13125699,68.70502219,6077.98100388,87.27374771,0,0,0,69.64271803
1569369600000,2019-09-25 00:00:00,DASH/USDT,72.46694634,75.72280039,69.37779307,72.008498,11894.87121032,163.0014211,0,0,0,72.97403378
1569283200000,2019-09-24 00:00:00,DASH/USDT,86.782093,88.05492845,67.79450647,71.815664,32393.35610379,419.13174026,0,0,0,77.28681221
1569196800000,2019-09-23 00:00:00,DASH/USDT,90.93215222,90.99694904,86.78820084,87.67571409,18530.50868568,207.88021935,0,0,0,89.14031716
1569110400000,2019-09-22 00:00:00,DASH/USDT,93.11416528,93.73,90.5114133,90.94120725,4316.95500756,47.01069831,0,0,0,91.82920404
1569024000000,2019-09-21 00:00:00,DASH/USDT,96.6382,96.7142,92.6705871,92.99533381,29141.44912863,307.97435945,0,0,0,94.62297179
1568937600000,2019-09-20 00:00:00,DASH/USDT,99.22171106,99.72873239,95.467925,96.7142,9729.72476698,99.06983255,0,0,0,98.2107723
1568851200000,2019-09-19 00:00:00,DASH/USDT,97.29625876,104.03026859,91.00000001,99.80116413,41214.92691222,427.11022022,0,0,0,96.49716855
1568764800000,2019-09-18 00:00:00,DASH/USDT,94.26873135,98.99999988,94.16745356,98.2,61955.01072883,634.35314455,0,0,0,97.66643589
1568678400000,2019-09-17 00:00:00,DASH/USDT,92.30862837,100,90.80558093,95,12023.83054965,126.73713641,0,0,0,94.87219681
1568592000000,2019-09-16 00:00:00,DASH/USDT,89.3233045,94,87.67256054,92.61584004,25654.66283142,283.45637136,0,0,0,90.50656617
1568505600000,2019-09-15 00:00:00,DASH/USDT,91.94835656,91.94835656,88.64326352,89.25696184,57093.04178432,638.23964277,0,0,0,89.45392601
1568419200000,2019-09-14 00:00:00,DASH/USDT,93.4979,94.6098938,90.17670915,91.68295806,114138.10546383,1239.49403254,0,0,0,92.08443321
1568332800000,2019-09-13 00:00:00,DASH/USDT,85.20720001,94.99999999,84.66899447,93.1981,216635.88111781,2419.20922322,0,0,0,89.54822056
1568246400000,2019-09-12 00:00:00,DASH/USDT,82,97.89621289,81.45608758,85.2072,69248.47130507,736.90986865,0,0,0,93.97142615
1568160000000,2019-09-11 00:00:00,DASH/USDT,83.69999999,84.31960805,82,82,2535.24823828,30.34183389,0,0,0,83.55619661
1568073600000,2019-09-10 00:00:00,DASH/USDT,86.39462754,86.65737883,82.61021857,82.61021857,10497.67564648,123.26072388,0,0,0,85.16642865
1567987200000,2019-09-09 00:00:00,DASH/USDT,87.82999999,89.3847341,85.9,86.39462754,3198.57443351,36.41055502,0,0,0,87.8474506
1567900800000,2019-09-08 00:00:00,DASH/USDT,84.25429933,87.50391927,83.8325088,87.50391927,29135.23458779,341.23445152,0,0,0,85.38186709
1567814400000,2019-09-07 00:00:00,DASH/USDT,80.65234388,84.01,80.03931535,83.46249928,5244.60747404,63.93438335,0,0,0,82.03109499
1567728000000,2019-09-06 00:00:00,DASH/USDT,79.91973432,82.6513642,78.00039618,80.64908411,47209.31645734,586.02670583,0,0,0,80.55830218
1567641600000,2019-09-05 00:00:00,DASH/USDT,81.92366011,81.92368675,80.06896518,80.06896518,16337.44898609,200.35944909,0,0,0,81.54069628
1567555200000,2019-09-04 00:00:00,DASH/USDT,82.71549695,82.99999861,80.35,81.9450958,13466.49552937,166.0999107,0,0,0,81.07467049
1567468800000,2019-09-03 00:00:00,DASH/USDT,81.8827117,83.82891588,80.22266226,82.60071251,3836.80468781,46.89658304,0,0,0,81.81416297
1567382400000,2019-09-02 00:00:00,DASH/USDT,80.28574248,82.99999999,79.45,81.61068702,22333.88163852,276.23958477,0,0,0,80.84967857
1567296000000,2019-09-01 00:00:00,DASH/USDT,78.4826657,80.29999999,78.1,79.34071772,8065.33758905,102.32994195,0,0,0,78.81698587
1567209600000,2019-08-31 00:00:00,DASH/USDT,79.60453057,80.34714715,78.33600345,80.34714715,7629.07946671,96.37881363,0,0,0,79.15722532
1567123200000,2019-08-30 00:00:00,DASH/USDT,79.63957512,81.70748766,79.33555553,79.80037944,44845.49863494,556.76228037,0,0,0,80.54694115
