https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZRX,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1574553600000,2019-11-24 00:00:00,ZRX/USDT,0.24466236,0.25934609,0.2355,0.2355,6338.37169168,25948.93661324,0,0,0,0.24426325
1574467200000,2019-11-23 00:00:00,ZRX/USDT,0.23694699,0.25424768,0.23342136,0.24673849,2488.53740351,10172.12782214,0,0,0,0.24464275
1574380800000,2019-11-22 00:00:00,ZRX/USDT,0.26432495,0.26432495,0.21651176,0.24033405,25739.46655824,103237.95677369,0,0,0,0.24932173
1574294400000,2019-11-21 00:00:00,ZRX/USDT,0.2618126,0.27008376,0.24288386,0.2618126,6532.39130443,25061.71904902,0,0,0,0.26065216
1574208000000,2019-11-20 00:00:00,ZRX/USDT,0.2592992,0.27375531,0.25504412,0.2594646,1866.11726296,7011.53420751,0,0,0,0.26614963
1574121600000,2019-11-19 00:00:00,ZRX/USDT,0.26282721,0.26282721,0.24339918,0.2587672,8441.36973906,33760.11369968,0,0,0,0.25003973
1574035200000,2019-11-18 00:00:00,ZRX/USDT,0.27659512,0.27728485,0.2581,0.26248458,3401.14848425,12676.03092807,0,0,0,0.26831336
1573948800000,2019-11-17 00:00:00,ZRX/USDT,0.28272729,0.28423457,0.27635193,0.27659516,1306.75705484,4683.042209,0,0,0,0.2790402
1573862400000,2019-11-16 00:00:00,ZRX/USDT,0.27782168,0.28180022,0.27445329,0.28180022,5957.83328226,21304.83538902,0,0,0,0.27964699
1573776000000,2019-11-15 00:00:00,ZRX/USDT,0.28702753,0.28926267,0.27634123,0.27634123,8818.51325626,31536.76158229,0,0,0,0.27962646
1573689600000,2019-11-14 00:00:00,ZRX/USDT,0.30253981,0.30296434,0.28180022,0.29023205,1942.34899566,6650.73883997,0,0,0,0.2920501
1573603200000,2019-11-13 00:00:00,ZRX/USDT,0.30075801,0.30214188,0.29669726,0.30085891,123.46040633,412.22688763,0,0,0,0.29949624
1573516800000,2019-11-12 00:00:00,ZRX/USDT,0.30293671,0.307,0.29721971,0.3018161,4697.149397,15427.01730079,0,0,0,0.30447553
1573430400000,2019-11-11 00:00:00,ZRX/USDT,0.3080476,0.31048166,0.29692279,0.30214188,5401.96094576,17729.0104173,0,0,0,0.30469613
1573344000000,2019-11-10 00:00:00,ZRX/USDT,0.30745271,0.31814035,0.30509939,0.30636718,2674.76762901,8551.84745221,0,0,0,0.31277073
1573257600000,2019-11-09 00:00:00,ZRX/USDT,0.2955569,0.31090031,0.2955569,0.30561213,1284.98537279,4186.61101424,0,0,0,0.30692733
1573171200000,2019-11-08 00:00:00,ZRX/USDT,0.30279442,0.31835606,0.2849,0.29217581,26703.76497836,88397.11027863,0,0,0,0.30208866
1573084800000,2019-11-07 00:00:00,ZRX/USDT,0.308,0.31,0.29501811,0.30478573,6422.2429167,21250.0213968,0,0,0,0.30222289
1572998400000,2019-11-06 00:00:00,ZRX/USDT,0.28968872,0.308,0.28968872,0.30785334,21893.28834285,72517.00624593,0,0,0,0.30190557
1572912000000,2019-11-05 00:00:00,ZRX/USDT,0.29405848,0.29692279,0.28685722,0.28992462,10630.66379972,36368.06391374,0,0,0,0.29230766
1572825600000,2019-11-04 00:00:00,ZRX/USDT,0.29234815,0.2995202,0.28426608,0.29434715,5154.5090234,17479.31649528,0,0,0,0.2948919
1572739200000,2019-11-03 00:00:00,ZRX/USDT,0.29325451,0.30214188,0.2907028,0.29517422,6891.10545412,23346.93886644,0,0,0,0.29516098
1572652800000,2019-11-02 00:00:00,ZRX/USDT,0.29908235,0.30478573,0.29063306,0.29293577,6438.1402795,21868.64445331,0,0,0,0.29440051
1572566400000,2019-11-01 00:00:00,ZRX/USDT,0.27042461,0.31014302,0.27042461,0.30214161,24030.69323167,82777.62490141,0,0,0,0.29030421
1572480000000,2019-10-31 00:00:00,ZRX/USDT,0.2702964,0.27975732,0.26512099,0.27004717,16755.05123234,61022.50400053,0,0,0,0.27457167
1572393600000,2019-10-30 00:00:00,ZRX/USDT,0.2798182,0.28070108,0.261,0.27283618,7153.10249187,26167.70579911,0,0,0,0.27335611
1572307200000,2019-10-29 00:00:00,ZRX/USDT,0.28752484,0.28752484,0.27302675,0.2798182,11913.02445349,42124.03838859,0,0,0,0.28280822
1572220800000,2019-10-28 00:00:00,ZRX/USDT,0.28686761,0.29734797,0.28461325,0.28635012,8056.36380947,27739.67518229,0,0,0,0.29042747
1572134400000,2019-10-27 00:00:00,ZRX/USDT,0.29185426,0.30197101,0.2838,0.28380011,8851.02291949,31007.52566201,0,0,0,0.28544757
1572048000000,2019-10-26 00:00:00,ZRX/USDT,0.30545183,0.31999757,0.2838,0.2955725,30659.93739806,103179.9923398,0,0,0,0.29715002
1571961600000,2019-10-25 00:00:00,ZRX/USDT,0.29704372,0.3178048,0.2877216,0.303,18693.84940571,63095.13611734,0,0,0,0.29628035
1571875200000,2019-10-24 00:00:00,ZRX/USDT,0.29251663,0.30923089,0.28731843,0.29762285,2381.74615985,7942.42584934,0,0,0,0.29987641
1571788800000,2019-10-23 00:00:00,ZRX/USDT,0.31062641,0.32913,0.28,0.29611332,21070.41913413,70568.28367824,0,0,0,0.29858199
1571702400000,2019-10-22 00:00:00,ZRX/USDT,0.32185083,0.32478629,0.30679803,0.30965682,10601.11816993,33472.41325161,0,0,0,0.31671209
1571616000000,2019-10-21 00:00:00,ZRX/USDT,0.32275843,0.33110157,0.31916738,0.32157151,2064.91585022,6364.54242545,0,0,0,0.32444058
1571529600000,2019-10-20 00:00:00,ZRX/USDT,0.31813565,0.3455,0.31081141,0.3243324,16818.5378181,51102.16067005,0,0,0,0.32911598
1571443200000,2019-10-19 00:00:00,ZRX/USDT,0.30014518,0.31859677,0.29425578,0.31521869,27016.81425889,86390.25737955,0,0,0,0.31272987
1571356800000,2019-10-18 00:00:00,ZRX/USDT,0.31466888,0.317044,0.29526969,0.30008271,10985.92672577,36577.22321872,0,0,0,0.30034884
1571270400000,2019-10-17 00:00:00,ZRX/USDT,0.3120333,0.32555361,0.31184691,0.31495089,40759.22756349,128341.16575451,0,0,0,0.31758498
1571184000000,2019-10-16 00:00:00,ZRX/USDT,0.3127563,0.32,0.27667734,0.30867282,44201.58922576,152516.90001628,0,0,0,0.28981436
1571097600000,2019-10-15 00:00:00,ZRX/USDT,0.33307853,0.34289,0.29846112,0.320433,37646.47224758,118235.02426612,0,0,0,0.31840372
1571011200000,2019-10-14 00:00:00,ZRX/USDT,0.29499999,0.34,0.29151241,0.32874876,45528.63015197,144149.54440662,0,0,0,0.31584303
1570924800000,2019-10-13 00:00:00,ZRX/USDT,0.26180598,0.29500001,0.26180598,0.295,15055.45980081,54186.14826938,0,0,0,0.27784701
1570838400000,2019-10-12 00:00:00,ZRX/USDT,0.26,0.26246379,0.25000075,0.26024451,3316.60938151,13006.5381722,0,0,0,0.25499555
1570752000000,2019-10-11 00:00:00,ZRX/USDT,0.26594303,0.2781,0.2581,0.2581,3961.89090823,14826.41057741,0,0,0,0.26721848
1570665600000,2019-10-10 00:00:00,ZRX/USDT,0.2553991,0.27512811,0.25,0.27150868,10280.13549382,38354.65473703,0,0,0,0.26802836
1570579200000,2019-10-09 00:00:00,ZRX/USDT,0.257,0.27850188,0.2469,0.25432275,30854.92031312,117325.26543166,0,0,0,0.26298615
1570492800000,2019-10-08 00:00:00,ZRX/USDT,0.22204672,0.26,0.22204672,0.257,10515.39675378,42998.814074,0,0,0,0.24455085
1570406400000,2019-10-07 00:00:00,ZRX/USDT,0.21134502,0.22456391,0.21043032,0.21852257,1909.37860404,8747.15429583,0,0,0,0.21828568
1570320000000,2019-10-06 00:00:00,ZRX/USDT,0.22008886,0.22008886,0.20933948,0.20933948,3362.63684205,15522.68246814,0,0,0,0.2166273
1570233600000,2019-10-05 00:00:00,ZRX/USDT,0.21776643,0.22409103,0.21569543,0.22409103,1583.05778907,7200.97822343,0,0,0,0.21983926
