https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1690934400000,2023-08-02 00:00:00,ETC/USDT,18.501,18.583,17.933,18.069,5344832.81,293297.182158,2676789.12,146887.104347,73849,18.224
1690848000000,2023-08-01 00:00:00,ETC/USDT,18.483,18.552,17.835,18.512,2235191.51,122393.304162,1152562.83,63128.114473,32440,18.262
1690761600000,2023-07-31 00:00:00,ETC/USDT,18.861,19.047,18.376,18.482,597159.48,32049.398308,293071.99,15725.293533,13026,18.633
1690675200000,2023-07-30 00:00:00,ETC/USDT,18.615,19.098,18.311,18.868,104722.6,5613.664996,49428.02,2649.283636,18417,18.656
1690588800000,2023-07-29 00:00:00,ETC/USDT,18.47,18.634,18.409,18.617,116063.1,6272.347141,57166.29,3089.317264,21588,18.504
1690502400000,2023-07-28 00:00:00,ETC/USDT,18.388,18.838,18.377,18.471,105728.62,5705.66498,56411.61,3043.807361,16473,18.53
1690416000000,2023-07-27 00:00:00,ETC/USDT,18.283,18.417,18.031,18.385,97992.13,5362.854735,50854.73,2782.963008,17447,18.272
1690329600000,2023-07-26 00:00:00,ETC/USDT,18.087,18.476,17.919,18.3,106422.7,5873.171681,53174.95,2933.559571,20135,18.12
1690243200000,2023-07-25 00:00:00,ETC/USDT,18.096,18.192,17.959,18.076,199588.86,11059.767255,105397.6,5840.755978,15151,18.046
1690156800000,2023-07-24 00:00:00,ETC/USDT,18.69,18.757,17.767,18.104,169309.58,9324.785673,90390.37,4981.488651,15803,18.159
1690070400000,2023-07-23 00:00:00,ETC/USDT,18.484,18.89,18.384,18.686,233247.32,12511.039197,114371.4,6134.884742,17507,18.643
1689984000000,2023-07-22 00:00:00,ETC/USDT,18.754,18.876,18.373,18.492,224185.07,11959.981819,112910.27,6023.303892,18286,18.744
1689897600000,2023-07-21 00:00:00,ETC/USDT,18.686,18.899,18.584,18.735,152440.61,8135.067267,77687.22,4145.85634,13490,18.738
1689811200000,2023-07-20 00:00:00,ETC/USDT,18.771,19.18,18.514,18.695,239854.22,12764.831949,123985.94,6596.110312,17767,18.791
1689724800000,2023-07-19 00:00:00,ETC/USDT,18.733,19.084,18.709,18.778,173491.39,9186.571322,89719.05,4751.085498,14284,18.885
1689638400000,2023-07-18 00:00:00,ETC/USDT,19.097,19.157,18.506,18.748,359130.01,19216.064376,193273.7,10335.979016,16611,18.69
1689552000000,2023-07-17 00:00:00,ETC/USDT,18.75,19.174,18.514,19.06,478578.87,25218.320153,231761.71,12206.390961,27926,18.977
1689465600000,2023-07-16 00:00:00,ETC/USDT,19.254,19.391,18.676,18.765,629873.04,33002.62074,313266.77,16414.124447,32594,19.086
1689379200000,2023-07-15 00:00:00,ETC/USDT,19.037,19.763,18.938,19.247,402645.98,20910.556502,212642.84,11043.408586,31540,19.256
1689292800000,2023-07-14 00:00:00,ETC/USDT,20.197,20.327,18.494,19.053,989855.42,49884.206141,477751.78,24046.756656,28207,19.851
1689206400000,2023-07-13 00:00:00,ETC/USDT,18.767,20.228,18.613,20.182,1204113.45,62649.168105,598839.29,31155.235064,24459,19.23
1689120000000,2023-07-12 00:00:00,ETC/USDT,18.888,19.228,18.544,18.774,1071780.32,56841.530021,542246.2,28748.976361,13712,18.856
1689033600000,2023-07-11 00:00:00,ETC/USDT,18.957,19.054,18.618,18.889,1100818.24,58473.742948,537885.22,28568.853193,17424,18.826
1688947200000,2023-07-10 00:00:00,ETC/USDT,18.63,19.339,18.117,18.94,1197721.95,63821.415111,616949.9,32872.850796,24486,18.77
1688860800000,2023-07-09 00:00:00,ETC/USDT,18.991,19.124,18.541,18.629,1083554.48,57457.374712,542664.25,28784.989722,16075,18.859
1688774400000,2023-07-08 00:00:00,ETC/USDT,19.237,19.346,18.706,18.994,1117232.85,58855.535807,558360.9,29412.863882,19641,18.983
1688688000000,2023-07-07 00:00:00,ETC/USDT,18.723,19.287,18.579,19.219,1153489.42,60690.091951,556277.48,29281.629381,22285,19.007
1688601600000,2023-07-06 00:00:00,ETC/USDT,19.374,20.11,18.668,18.733,1264551.2,65266.5878,653206.18,33717.893411,29924,19.38
1688515200000,2023-07-05 00:00:00,ETC/USDT,19.508,19.774,18.646,19.39,1159983.49,60204.085373,590086.53,30618.228965,28693,19.271
1688428800000,2023-07-04 00:00:00,ETC/USDT,20.058,20.418,19.318,19.509,1165381.68,58530.686388,593888.82,29824.113564,27122,19.913
1688342400000,2023-07-03 00:00:00,ETC/USDT,20.384,20.759,19.83,20.064,1198173.85,59500.237207,592332.61,29406.953754,28075,20.139
1688256000000,2023-07-02 00:00:00,ETC/USDT,20.877,20.88,19.692,20.381,1162255.97,57248.696326,556921.39,27424.761116,31305,20.303
1688169600000,2023-07-01 00:00:00,ETC/USDT,20.876,23.154,20.609,20.88,1341179.37,62837.466864,657174.75,30784.68073,37789,21.351
1688083200000,2023-06-30 00:00:00,ETC/USDT,18.028,21.106,17.956,20.874,1498452.67,75900.669794,797238.21,40403.007306,39687,19.767
1687996800000,2023-06-29 00:00:00,ETC/USDT,17.481,18.57,17.473,18.008,1220101.51,68079.132797,598542.44,33400.011481,29984,17.924
1687910400000,2023-06-28 00:00:00,ETC/USDT,18.676,18.683,17.076,17.477,1288639.81,71826.880485,594572.68,33133.342029,32109,17.945
1687824000000,2023-06-27 00:00:00,ETC/USDT,18.579,18.904,18.244,18.675,1219592.85,65650.348041,597392.04,32154.543321,32061,18.578
1687737600000,2023-06-26 00:00:00,ETC/USDT,18.344,19.452,17.814,18.591,1290808.85,70472.01343,657731.79,35891.25887,27835,18.321
1687651200000,2023-06-25 00:00:00,ETC/USDT,19.197,19.5,18.136,18.344,1207385.38,64749.161668,639929.59,34318.73469,20319,18.651
1687564800000,2023-06-24 00:00:00,ETC/USDT,18.88,19.68,18.088,19.235,1355425.41,72106.859103,690888.96,36760.832604,21263,18.806
1687478400000,2023-06-23 00:00:00,ETC/USDT,16.616,19.132,16.609,18.871,1202800.22,68866.836447,604794.18,34586.139215,21011,17.497
1687392000000,2023-06-22 00:00:00,ETC/USDT,16.797,17.487,16.409,16.609,1164424.13,68788.617852,588286.63,34755.991306,19602,16.93
1687305600000,2023-06-21 00:00:00,ETC/USDT,15.813,16.936,15.753,16.794,1047871.61,63729.326832,532390.71,32378.234846,16125,16.447
1687219200000,2023-06-20 00:00:00,ETC/USDT,15.345,15.834,15.024,15.822,1046456.49,68070.600685,517446.34,33667.881723,10500,15.375
1687132800000,2023-06-19 00:00:00,ETC/USDT,15.228,15.431,15.109,15.343,1188268.35,77838.08814,567866.1,37203.362005,12055,15.266
1687046400000,2023-06-18 00:00:00,ETC/USDT,15.332,15.523,15.056,15.235,1261377.88,82032.118681,626432.24,40739.172664,15407,15.377
1686960000000,2023-06-17 00:00:00,ETC/USDT,15.244,15.534,15.117,15.338,1012391,66060.998471,498583.34,32529.758843,14479,15.325
1686873600000,2023-06-16 00:00:00,ETC/USDT,15.046,15.288,14.746,15.243,1117628.9,74276.220085,568161.65,37751.716956,16335,15.047
1686787200000,2023-06-15 00:00:00,ETC/USDT,14.721,15.153,14.667,15.054,1271963.86,85516.54014,615938.3,41415.91148,16170,14.874
1686700800000,2023-06-14 00:00:00,ETC/USDT,15.22,15.334,14.423,14.725,1246769.72,82452.478656,609737.4,40327.699498,17349,15.124
1686614400000,2023-06-13 00:00:00,ETC/USDT,15.145,15.489,15.035,15.224,917344.11,60273.219283,450491.68,29593.598013,13623,15.22
1686528000000,2023-06-12 00:00:00,ETC/USDT,15.069,15.272,14.742,15.143,1209093.14,80437.451088,605215.26,40263.07345,16988,15.032
1686441600000,2023-06-11 00:00:00,ETC/USDT,15.113,15.345,14.92,15.069,1205219.03,79940.43395,606948.58,40262.016108,16928,15.076
1686355200000,2023-06-10 00:00:00,ETC/USDT,16.942,17.076,14.592,15.112,1289269.31,84053.239531,572159.73,37453.58712,17854,15.374
1686268800000,2023-06-09 00:00:00,ETC/USDT,16.992,17.185,16.825,16.941,1168426.84,68897.120487,594119.21,35032.97814,16152,16.959
1686182400000,2023-06-08 00:00:00,ETC/USDT,16.901,17.104,16.82,16.997,968063.95,57025.130384,459480.37,27065.448855,10017,16.976
1686096000000,2023-06-07 00:00:00,ETC/USDT,17.554,17.571,16.763,16.904,1031705.1,60211.020757,499734.4,29161.118867,2959,17.137
1686009600000,2023-06-06 00:00:00,ETC/USDT,17.014,17.661,16.929,17.591,954187.83,55762.155736,482883.83,28220.736863,2723,17.112
1685923200000,2023-06-05 00:00:00,ETC/USDT,18.194,18.205,16.604,17.019,1096400.08,62158.372373,548734.88,31114.249062,8526,17.653
1685836800000,2023-06-04 00:00:00,ETC/USDT,18.127,18.368,18.065,18.193,906442.45,49737.401717,427614.07,23456.593179,9312,18.224
1685750400000,2023-06-03 00:00:00,ETC/USDT,18.15,18.322,18.035,18.125,1040656.46,57327.786077,506490.1,27900.511109,10023,18.152
1685664000000,2023-06-02 00:00:00,ETC/USDT,17.824,18.187,17.696,18.15,1079112.34,59800.592009,526276.99,29165.952819,6923,18.045
1685577600000,2023-06-01 00:00:00,ETC/USDT,18.017,18.061,17.7,17.825,1049268.88,58748.970601,542238.23,30361.742233,7989,17.86
1685491200000,2023-05-31 00:00:00,ETC/USDT,18.254,18.322,17.847,18.017,1062753.71,58998.528661,506957.29,28146.444124,3077,18.014
1685404800000,2023-05-30 00:00:00,ETC/USDT,18.356,18.454,18.172,18.255,860182.88,46989.174659,419803.32,22932.781427,2485,18.306
1685318400000,2023-05-29 00:00:00,ETC/USDT,18.548,18.605,18.243,18.352,892407.69,48504.047481,422286.31,22952.039699,2879,18.398
1685232000000,2023-05-28 00:00:00,ETC/USDT,18.125,18.659,18.099,18.537,1111517.46,60816.808223,565020.61,30906.795918,3299,18.276
1685145600000,2023-05-27 00:00:00,ETC/USDT,18.052,18.177,17.891,18.122,1111070.87,61658.845362,541856.19,30067.173142,3037,18.019
1685059200000,2023-05-26 00:00:00,ETC/USDT,17.774,18.283,17.669,18.051,536605.05,30005.570166,274843.47,15366.377828,3329,17.884
1684972800000,2023-05-25 00:00:00,ETC/USDT,17.81,17.847,17.458,17.773,516657.21,29128.569441,259056.59,14605.130217,3316,17.737
1684886400000,2023-05-24 00:00:00,ETC/USDT,18.399,18.407,17.638,17.811,601865.02,33483.948283,299011.64,16634.668415,3358,17.976
1684800000000,2023-05-23 00:00:00,ETC/USDT,18.253,18.518,18.181,18.384,518296.82,28231.985786,257245.94,14012.401765,3679,18.358
1684713600000,2023-05-22 00:00:00,ETC/USDT,17.943,18.478,17.796,18.244,544218.13,30082.43228,265531.29,14679.196805,3683,18.092
1684627200000,2023-05-21 00:00:00,ETC/USDT,18.341,18.404,17.896,17.948,646332.28,35452.40168,325883.91,17878.492797,3939,18.232
1684540800000,2023-05-20 00:00:00,ETC/USDT,18.327,18.423,18.18,18.336,855155.79,46725.662573,426861.7,23324.217335,5235,18.301
1684454400000,2023-05-19 00:00:00,ETC/USDT,18.362,18.512,18.267,18.328,842377.37,45931.51969,414227.06,22585.584289,5530,18.339
1684368000000,2023-05-18 00:00:00,ETC/USDT,18.547,18.69,17.925,18.482,879833.09,47663.121192,444402.37,24066.129611,5547,18.461
1684281600000,2023-05-17 00:00:00,ETC/USDT,18.278,18.664,18.179,18.53,824925.92,44767.46603,413699.34,22450.732412,5309,18.427
1684195200000,2023-05-16 00:00:00,ETC/USDT,18.28,18.353,18.031,18.277,817483.95,44865.098281,391172.43,21469.108687,5578,18.221
1684108800000,2023-05-15 00:00:00,ETC/USDT,18.117,18.462,17.899,18.289,824921.45,45013.026271,419245.05,22879.975166,5579,18.326
1684022400000,2023-05-14 00:00:00,ETC/USDT,18.099,18.356,17.999,18.12,808375.3,44535.590345,402526.27,22174.170092,5592,18.151
1683936000000,2023-05-13 00:00:00,ETC/USDT,18.209,18.279,17.983,18.102,809696.46,44609.729837,414697.73,22847.872203,4807,18.15
1683849600000,2023-05-12 00:00:00,ETC/USDT,18.087,18.228,17.626,18.207,855826,47442.832771,415552.94,23037.751689,5374,18.039
1683763200000,2023-05-11 00:00:00,ETC/USDT,18.872,18.976,17.852,18.104,910281.98,49402.18405,458156.84,24852.69698,5717,18.433
