date,symbol,strategy,current_price,predicted_price,next_price,investment_made,capital_before,capital_invested,capital_after,capital_gained,return_pct
2025-05-18,EOS/USDT,PolynomialRegression_degree_2,0.82,0.77,0.78,No,913.51,0.0,913.51,0.0,0.0
2025-05-19,EOS/USDT,PolynomialRegression_degree_2,0.78,0.76,0.79,No,913.51,0.0,913.51,0.0,0.0
2025-05-20,EOS/USDT,PolynomialRegression_degree_2,0.79,0.74,0.76,No,913.51,0.0,913.51,0.0,0.0
2025-05-21,EOS/USDT,PolynomialRegression_degree_2,0.76,0.77,0.76,Yes,913.51,913.51,920.5,6.99,0.0077
2025-05-13,EOS/USDT,PolynomialRegression_degree_3,0.89,0.91,0.8,Yes,1000.0,1000.0,898.39,-101.61,-0.1016
2025-05-14,EOS/USDT,PolynomialRegression_degree_3,0.8,0.86,0.78,Yes,898.39,898.39,885.06,-13.32,-0.0148
2025-05-15,EOS/USDT,PolynomialRegression_degree_3,0.78,0.82,0.84,Yes,885.06,885.06,950.21,65.15,0.0736
2025-05-16,EOS/USDT,PolynomialRegression_degree_3,0.84,0.85,0.81,Yes,950.21,950.21,913.51,-36.69,-0.0386
2025-05-17,EOS/USDT,PolynomialRegression_degree_3,0.81,0.8,0.82,No,913.51,0.0,913.51,0.0,0.0
2025-05-18,EOS/USDT,PolynomialRegression_degree_3,0.82,0.8,0.78,No,913.51,0.0,913.51,0.0,0.0
2025-05-19,EOS/USDT,PolynomialRegression_degree_3,0.78,0.78,0.79,Yes,913.51,913.51,924.69,11.18,0.0122
2025-05-20,EOS/USDT,PolynomialRegression_degree_3,0.79,0.78,0.76,No,924.69,0.0,924.69,0.0,0.0
2025-05-21,EOS/USDT,PolynomialRegression_degree_3,0.76,0.78,0.76,Yes,924.69,924.69,931.77,7.08,0.0077
2025-05-13,EOS/USDT,PolynomialRegression_degree_4,0.89,0.83,0.8,No,1000.0,0.0,1000.0,0.0,0.0
2025-05-14,EOS/USDT,PolynomialRegression_degree_4,0.8,0.87,0.78,Yes,1000.0,1000.0,985.17,-14.83,-0.0148
2025-05-15,EOS/USDT,PolynomialRegression_degree_4,0.78,0.83,0.84,Yes,985.17,985.17,1057.69,72.51,0.0736
